archetype,worker,handle,label,time,type
0,0,,"worker_started",17552489341200,0
0,0,0,"Simulated Job (19ms)",17552489347300,4
0,0,0,"Simulated Job (19ms)",17552510667500,5
0,0,24,"Simulated Job (1ms)",17552510674400,4
0,0,24,"Simulated Job (1ms)",17552526238300,5
0,0,48,"Simulated Job (13ms)",17552526242300,4
0,0,48,"Simulated Job (13ms)",17552541810200,5
0,0,72,"Simulated Job (7ms)",17552541815700,4
0,0,72,"Simulated Job (7ms)",17552557832500,5
0,0,96,"Simulated Job (9ms)",17552557839500,4
0,0,96,"Simulated Job (9ms)",17552573406800,5
0,0,120,"Simulated Job (10ms)",17552573410900,4
0,0,120,"Simulated Job (10ms)",17552588767300,5
0,0,144,"Simulated Job (18ms)",17552588771500,4
0,0,144,"Simulated Job (18ms)",17552619871800,5
0,0,168,"Simulated Job (13ms)",17552619877100,4
0,0,168,"Simulated Job (13ms)",17552635199400,5
0,0,,"worker_sleeping",17552635202900,2
0,0,,"worker_awake",17552681749100,3
0,0,,"worker_exited",17552681761700,1
0,1,,"worker_started",17552489494900,0
0,1,1,"Simulated Job (7ms)",17552489498200,4
0,1,1,"Simulated Job (7ms)",17552510833400,5
0,1,25,"Simulated Job (17ms)",17552510837900,4
0,1,25,"Simulated Job (17ms)",17552541658400,5
0,1,49,"Simulated Job (2ms)",17552541678200,4
0,1,49,"Simulated Job (2ms)",17552557956700,5
0,1,73,"Simulated Job (6ms)",17552557962400,4
0,1,73,"Simulated Job (6ms)",17552573295100,5
0,1,97,"Simulated Job (17ms)",17552573300200,4
0,1,97,"Simulated Job (17ms)",17552603996200,5
0,1,121,"Simulated Job (18ms)",17552604004500,4
0,1,121,"Simulated Job (18ms)",17552635096700,5
0,1,145,"Simulated Job (13ms)",17552635112300,4
0,1,145,"Simulated Job (13ms)",17552650621500,5
0,1,169,"Simulated Job (15ms)",17552650635300,4
0,1,169,"Simulated Job (15ms)",17552666212400,5
0,1,,"worker_sleeping",17552666224300,2
0,1,,"worker_awake",17552681749000,3
0,1,,"worker_exited",17552681761600,1
0,2,,"worker_started",17552489632400,0
0,2,2,"Simulated Job (18ms)",17552489638600,4
0,2,2,"Simulated Job (18ms)",17552510718400,5
0,2,26,"Simulated Job (9ms)",17552510727800,4
0,2,26,"Simulated Job (9ms)",17552526282200,5
0,2,50,"Simulated Job (5ms)",17552526288400,4
0,2,50,"Simulated Job (5ms)",17552541906300,5
0,2,74,"Simulated Job (6ms)",17552541915500,4
0,2,74,"Simulated Job (6ms)",17552557774100,5
0,2,98,"Simulated Job (3ms)",17552557784400,4
0,2,98,"Simulated Job (3ms)",17552573343500,5
0,2,122,"Simulated Job (12ms)",17552573351100,4
0,2,122,"Simulated Job (12ms)",17552588618500,5
0,2,146,"Simulated Job (17ms)",17552588627100,4
0,2,146,"Simulated Job (17ms)",17552619717700,5
0,2,170,"Simulated Job (20ms)",17552619726200,4
0,2,170,"Simulated Job (20ms)",17552650644400,5
0,2,,"worker_sleeping",17552650648300,2
0,2,,"worker_awake",17552681749000,3
0,2,,"worker_exited",17552681761700,1
0,3,,"worker_started",17552489768900,0
0,3,3,"Simulated Job (14ms)",17552489772500,4
0,3,3,"Simulated Job (14ms)",17552510880400,5
0,3,27,"Simulated Job (4ms)",17552510885400,4
0,3,27,"Simulated Job (4ms)",17552526184900,5
