archetype,worker,handle,label,_time,type
0,0,,"worker_started",13804143714500,0
0,0,0,"Parallelize class un::parallel_for_job<class un::job_worker> * __ptr64(0 -> 2730)",13804143715800,4
0,0,0,"Parallelize class un::parallel_for_job<class un::job_worker> * __ptr64(0 -> 2730)",13804868860300,5
0,0,24,"Parallelize class un::parallel_for_job<class un::job_worker> * __ptr64(65520 -> 65536)",13804868862200,4
0,0,24,"Parallelize class un::parallel_for_job<class un::job_worker> * __ptr64(65520 -> 65536)",13804870609400,5
0,0,,"worker_sleeping",13804870610000,2
0,0,,"worker_awake",13804883597000,3
0,0,,"worker_exited",13804883600400,1
0,1,,"worker_started",13804143589500,0
0,1,1,"Parallelize class un::parallel_for_job<class un::job_worker> * __ptr64(2730 -> 5460)",13804143593200,4
0,1,1,"Parallelize class un::parallel_for_job<class un::job_worker> * __ptr64(2730 -> 5460)",13804848172900,5
0,1,,"worker_sleeping",13804848174800,2
0,1,,"worker_awake",13804883599600,3
0,1,,"worker_exited",13804883600800,1
0,2,,"worker_started",13804143505600,0
0,2,2,"Parallelize class un::parallel_for_job<class un::job_worker> * __ptr64(5460 -> 8190)",13804143506400,4
0,2,2,"Parallelize class un::parallel_for_job<class un::job_worker> * __ptr64(5460 -> 8190)",13804846419200,5
0,2,,"worker_sleeping",13804846422000,2
0,2,,"worker_awake",13804883599800,3
0,2,,"worker_exited",13804883601000,1
0,3,,"worker_started",13804143542100,0
0,3,3,"Parallelize class un::parallel_for_job<class un::job_worker> * __ptr64(8190 -> 10920)",13804143544400,4
0,3,3,"Parallelize class un::parallel_for_job<class un::job_worker> * __ptr64(8190 -> 10920)",13804877327200,5
0,3,,"worker_sleeping",13804877328400,2
0,3,,"worker_awake",13804883601800,3
0,3,,"worker_exited",13804883602900,1
0,4,,"worker_started",13804143578100,0
0,4,4,"Parallelize class un::parallel_for_job<class un::job_worker> * __ptr64(10920 -> 13650)",13804143579000,4
